Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:12:08	17356539	120.3790
2023-08-01	14:12:08	17364283	120.3790
2023-08-01	14:12:08	17373214	120.3790
2023-08-01	14:12:08	17381920	120.3790
2023-08-01	14:12:08	17389411	120.3790
2023-08-01	14:12:08	17396998	120.3790
2023-08-01	14:12:08	17404486	120.3790
2023-08-01	14:12:08	17411460	120.3790
2023-08-01	14:12:08	17418263	120.3790
2023-08-01	14:12:08	17423079	120.3790
2023-08-01	14:12:08	17426791	120.3790
2023-08-01	14:12:08	17430623	120.3790
2023-08-01	14:12:08	17434544	120.3790
2023-08-01	14:12:08	17438335	120.3790
2023-08-01	14:12:08	17442317	120.3790
2023-08-01	14:12:08	17446255	120.3790
2023-08-01	14:12:08	17450362	120.3790
2023-08-01	14:12:08	17452753	120.3790
2023-08-01	14:12:08	17455216	120.3790
2023-08-01	14:12:08	17457361	120.3790
2023-08-01	14:12:08	17463997	120.3790
2023-08-01	14:12:08	17468127	120.3790
2023-08-01	14:12:08	17472719	120.3790
2023-08-01	14:12:08	17477041	120.3790
2023-08-01	14:12:08	17482342	120.3790
2023-08-01	14:12:08	17486629	120.3790
2023-08-01	14:12:08	17491818	120.3790
2023-08-01	14:12:08	17495263	120.3790
2023-08-01	14:12:08	17499032	120.3790
2023-08-01	14:12:08	17503225	120.3790
2023-08-01	14:12:08	17507765	120.3790
2023-08-01	14:12:08	17513534	120.3790
2023-08-01	14:12:08	17522065	120.3790
2023-08-01	14:12:08	17526498	120.3790
2023-08-01	14:12:08	17529705	120.3790
2023-08-01	14:12:08	17534570	120.3790
2023-08-01	14:12:08	17538144	120.3790
2023-08-01	14:12:08	17540838	120.3790
2023-08-01	14:12:08	17547274	120.3790
2023-08-01	14:12:08	17552042	120.3790
2023-08-01	14:12:08	17556442	120.3790
2023-08-01	14:12:08	17562966	120.3790
2023-08-01	14:12:08	17567411	120.3790
2023-08-01	14:12:08	17571264	120.3790
2023-08-01	14:12:08	17575991	120.3790
2023-08-01	14:12:08	17591717	120.3790
2023-08-01	14:12:08	17597522	120.3790
2023-08-01	14:12:08	17606510	120.3790
2023-08-01	14:12:08	17611527	120.3790
2023-08-01	14:12:08	17617331	120.3790
2023-08-01	14:12:08	17628109	120.3790
2023-08-01	14:12:08	17634110	120.3790
2023-08-01	14:12:08	17641457	120.3790
2023-08-01	14:12:08	17646534	120.3790
2023-08-01	14:12:08	17651429	120.3790
2023-08-01	14:12:08	17655288	120.3790
2023-08-01	14:12:08	17662127	120.3790
2023-08-01	14:12:08	17666499	120.3790
2023-08-01	14:12:08	17670800	120.3790
2023-08-01	14:12:08	17675753	120.3790
2023-08-01	14:12:08	17679891	120.3790
2023-08-01	14:12:08	17684685	120.3790
2023-08-01	14:12:08	17690347	120.3790
2023-08-01	14:12:08	17696721	120.3790
2023-08-01	14:12:08	17702538	120.3790
2023-08-01	14:12:08	17709628	120.3790
2023-08-01	14:12:08	17721935	120.3790
2023-08-01	14:12:08	17726038	120.3790
2023-08-01	14:12:08	17732795	120.3790
2023-08-01	14:12:08	17742367	120.3790
2023-08-01	14:12:08	17747045	120.3790
2023-08-01	14:12:08	17752284	120.3790
2023-08-01	14:12:08	17758129	120.3790
2023-08-01	14:12:08	17763724	120.3790
2023-08-01	14:12:08	17768989	120.3790
